Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u/50V,C_1206_3216Metric,175.400000,-134.290000,-90.000000,top
C2,10u/50V,C_1206_3216Metric,172.860000,-134.290000,-90.000000,top
C3,10u/50V,C_1206_3216Metric,175.400000,-129.210000,-90.000000,top
C4,100nF,C_0805_2012Metric,191.275000,-134.290000,90.000000,top
C5,10u/50V,C_1206_3216Metric,110.630000,-129.210000,-90.000000,top
C6,10u/50V,C_1206_3216Metric,108.090000,-129.210000,-90.000000,top
C7,10u/50V,C_1206_3216Metric,124.600000,-133.020000,-90.000000,top
C8,100nF,C_0805_2012Metric,108.725000,-133.655000,90.000000,top
C14,220u/35V,CP_Radial_D8.0mm_P3.50mm,185.942651,-112.700000,180.000000,top
C15,220u/35V,CP_Radial_D8.0mm_P3.50mm,185.942651,-121.590000,180.000000,top
C16,220u/35V,CP_Radial_D8.0mm_P3.50mm,106.185000,-123.495000,180.000000,top
C17,220u/35V,CP_Radial_D8.0mm_P3.50mm,106.185000,-114.605000,180.000000,top
C19,100nF,C_0805_2012Metric,163.970000,-134.925000,-90.000000,top
C20,100nF,C_0805_2012Metric,134.760000,-134.925000,-90.000000,top
C21,100nF,C_0805_2012Metric,122.695000,-117.780000,0.000000,top
C22,100nF,C_0805_2012Metric,118.885000,-117.780000,0.000000,top
C23,4u7,C_0805_2012Metric,111.265000,-93.015000,90.000000,top
C24,10p,C_0805_2012Metric,111.900000,-98.095000,180.000000,top
C25,10u,C_0805_2012Metric,114.757500,-96.825000,-90.000000,top
C26,10u,C_0805_2012Metric,116.980000,-96.825000,-90.000000,top
C27,1u,C_0805_2012Metric,119.202500,-96.825000,-90.000000,top
C28,100nF,C_0805_2012Metric,110.630000,-75.235000,0.000000,top
C29,100nF,C_0805_2012Metric,123.330000,-88.570000,-90.000000,top
C30,100nF,C_0603_1608Metric,148.095000,-110.477500,0.000000,top
C31,100nF,C_0603_1608Metric,144.602500,-104.445000,0.000000,top
C32,100nF,C_0603_1608Metric,155.397500,-95.555000,180.000000,top
C33,100nF,C_0603_1608Metric,150.952500,-107.620000,90.000000,top
C34,10u,C_0805_2012Metric,152.857500,-107.620000,-90.000000,top
D1,LL4148,D_MiniMELF,172.860000,-119.050000,90.000000,top
D2,LL4148,D_MiniMELF,134.760000,-119.050000,90.000000,top
D3,LL4148,D_MiniMELF,130.950000,-81.585000,0.000000,top
D4,green,LED_0805_2012Metric,139.205000,-128.272500,-90.000000,top
D5,red,LED_0805_2012Metric,142.380000,-128.272500,-90.000000,top
D6,red,LED_0805_2012Metric,144.920000,-128.272500,-90.000000,top
D7,red,LED_0805_2012Metric,148.095000,-128.257500,-90.000000,top
D8,red,LED_0805_2012Metric,150.635000,-128.272500,-90.000000,top
D9,red,LED_0805_2012Metric,153.810000,-128.272500,-90.000000,top
D10,red,LED_0805_2012Metric,156.350000,-128.272500,-90.000000,top
D11,red,LED_0805_2012Metric,159.525000,-128.272500,-90.000000,top
D12,LL4148,D_MiniMELF,139.840000,-77.140000,90.000000,top
F1,2A,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,111.265000,-78.410000,90.000000,top
F2,2A,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,111.265000,-107.860000,90.000000,top
F3,2A,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,111.265000,-103.810000,90.000000,top
F4,50mA,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,149.365000,-87.935000,-90.000000,top
J2,ADC1,JST_VH_B4P-VH_1x04_P3.96mm_Vertical,194.450000,-105.940000,90.000000,top
J3,ADC2,JST_VH_B4P-VH_1x04_P3.96mm_Vertical,194.450000,-87.940000,90.000000,top
J4,DAC1,JST_VH_B4P-VH_1x04_P3.96mm_Vertical,190.000000,-68.000000,180.000000,top
J5,DAC2,JST_VH_B4P-VH_1x04_P3.96mm_Vertical,172.000000,-68.000000,180.000000,top
J6,DAC3,JST_VH_B4P-VH_1x04_P3.96mm_Vertical,194.500000,-123.940000,90.000000,top
J7,FPGA,JST_VH_B4P-VH_1x04_P3.96mm_Vertical,122.000000,-68.050000,180.000000,top
J8,Frontpanel,JST_VH_B4P-VH_1x04_P3.96mm_Vertical,140.000000,-68.000000,180.000000,top
J9,RPT-75C,JST_VH_B8P-VH_1x08_P3.96mm_Vertical,105.500000,-79.500000,-90.000000,top
J10,TEMP,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,176.690000,-80.950000,90.000000,top
J11,TEMP,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,169.070000,-80.950000,90.000000,top
J12,TEMP,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,184.290000,-80.950000,90.000000,top
J13,TEMP,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,176.690000,-90.475000,90.000000,top
J14,TEMP,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,161.450000,-90.475000,90.000000,top
J15,TEMP,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,161.450000,-80.950000,90.000000,top
J16,TEMP,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,184.310000,-90.475000,90.000000,top
J17,TEMP,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,153.830000,-80.950000,90.000000,top
J18,SPI,PinHeader_2x03_P2.54mm_Vertical,134.755000,-93.665000,0.000000,top
J19,TEMP,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,153.830000,-90.475000,90.000000,top
J20,TEMP,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,169.070000,-90.475000,90.000000,top
J21,FAN,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,144.940000,-78.410000,90.000000,top
J22,UART,PinHeader_1x04_P2.54mm_Vertical,132.230000,-103.810000,90.000000,top
K1,"PCN1xxx3MHZ,xxx","PCN1xxx3MHZ,xxx",169.865086,-135.345000,90.000000,top
K2,"PCN1xxx3MHZ,xxx","PCN1xxx3MHZ,xxx",131.765086,-135.345000,90.000000,top
K3,"PCN1xxx3MHZ,xxx","PCN1xxx3MHZ,xxx",114.655000,-78.590086,0.000000,top
L2,600R/100M,L_0805_2012Metric,179.210000,-117.145000,0.000000,top
L3,600R/100M,L_0805_2012Metric,109.995000,-110.795000,180.000000,top
L4,2u2,L_0805_2012Metric,117.615000,-93.015000,-90.000000,top
L5,600R/100M,L_0805_2012Metric,154.762500,-107.620000,-90.000000,top
Q1,AO3400A,TSOT-23,167.780000,-113.970000,90.000000,top
Q2,AO3400A,TSOT-23,129.680000,-113.970000,90.000000,top
Q3,AO3400A,TSOT-23,136.030000,-76.505000,0.000000,top
Q4,AO3400A,TSOT-23,143.650000,-82.220000,0.000000,top
R1,0R,R_0805_2012Metric,172.860000,-129.845000,-90.000000,top
R2,2k,R_0805_2012Metric,190.005000,-131.115000,180.000000,top
R3,22k,R_0805_2012Metric,180.480000,-127.940000,0.000000,top
R4,270k,R_0805_2012Metric,188.735000,-134.290000,90.000000,top
R5,3k3,R_0805_2012Metric,163.970000,-129.845000,90.000000,top
R6,11k,R_0805_2012Metric,184.925000,-127.940000,0.000000,top
R7,0R,R_0805_2012Metric,115.075000,-127.940000,180.000000,top
R8,39k,R_0805_2012Metric,120.155000,-127.940000,0.000000,top
R9,39k,R_0805_2012Metric,173.495000,-125.400000,0.000000,top
R10,4k7,R_0805_2012Metric,119.520000,-125.400000,180.000000,top
R11,11k,R_0805_2012Metric,177.305000,-125.400000,0.000000,top
R12,39k,R_0805_2012Metric,115.075000,-125.400000,180.000000,top
R13,68k,R_0805_2012Metric,111.900000,-95.872500,180.000000,top
R14,470R,R_0805_2012Metric,154.445000,-118.732500,90.000000,top
R15,0R,R_0805_2012Metric,163.970000,-117.780000,90.000000,top
R16,10k,R_0805_2012Metric,170.955000,-113.970000,-90.000000,top
R17,270k,R_0805_2012Metric,111.265000,-133.655000,90.000000,top
R18,11k,R_0805_2012Metric,110.630000,-125.400000,180.000000,top
R22,0R,R_0805_2012Metric,125.870000,-117.780000,90.000000,top
R23,10k,R_0805_2012Metric,132.855000,-113.970000,-90.000000,top
R24,15k,R_0805_2012Metric,111.900000,-100.317500,0.000000,top
R25,11k,R_0805_2012Metric,115.075000,-122.860000,0.000000,top
R26,0R,R_0805_2012Metric,123.330000,-125.400000,180.000000,top
R27,11k,R_0805_2012Metric,115.075000,-120.320000,180.000000,top
R28,10k,R_0805_2012Metric,125.870000,-121.590000,-90.000000,top
R29,0R01,R_1206_3216Metric,111.582500,-82.855000,90.000000,top
R30,249k,R_0805_2012Metric,118.567500,-81.585000,0.000000,top
R31,0R,R_0805_2012Metric,111.582500,-87.300000,90.000000,top
R32,10k,R_0805_2012Metric,114.440000,-86.500000,0.000000,top
R33,10k,R_0805_2012Metric,115.710000,-89.205000,-90.000000,top
R34,0R,R_0805_2012Metric,125.870000,-81.585000,180.000000,top
R35,10k,R_0805_2012Metric,136.030000,-79.680000,180.000000,top
R36,10k,R_0805_2012Metric,149.365000,-92.062500,90.000000,top
R38,10k,R_0805_2012Metric,147.142500,-82.220000,-90.000000,top
R39,81R,R_0805_2012Metric,139.840000,-82.220000,90.000000,top
SW1,RESET,SW_SPST_B3U-1000P,147.460000,-107.620000,0.000000,top
U1,LT3081xR,TO-220-7_P2.54x3.8mm_StaggerOdd_Lead5.85mm_TabDown,186.195000,-130.340000,180.000000,top
U2,STM32L051K8Tx,LQFP-32_7x7mm_P0.8mm,150.000000,-100.000000,0.000000,top
U3,LT3091xR,TO-220-7_P2.54x3.8mm_StaggerOdd_Lead5.85mm_TabDown,121.425000,-130.480000,180.000000,top
U4,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,148.095000,-119.050000,180.000000,top
U7,NE5532,SOIC-8_3.9x4.9mm_P1.27mm,120.790000,-121.590000,270.000000,top
U8,TLV62569DBV,SOT-23-5,114.440000,-93.015000,0.000000,top
U9,INA138,SOT-23-5,114.757500,-82.855000,90.000000,top
U10,MCP6002-xSN,SOIC-8_3.9x4.9mm_P1.27mm,119.520000,-86.665000,180.000000,top
